,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
39,Grattan St-Swanston St (West),19,4,4,8,4,18,36,173,603,588,696,795,1045,1061,945,1053,1002,1076,755,369,431,183,80,35,10983,457.625,6/08/2019
40,Monash Rd-Swanston St (West),12,3,2,4,2,6,32,158,520,699,663,827,866,1043,821,880,1200,1176,984,408,553,195,95,44,11193,466.375,6/08/2019
41,Tin Alley-Swanston St (West),6,3,5,,1,3,18,55,171,254,208,262,276,356,273,295,342,353,300,162,175,90,38,14,3660,159.1304348,6/08/2019
42,Little Collins St-Swanston St (East),32,28,11,14,15,61,167,415,825,653,724,983,1765,1936,1461,1497,1548,2044,1606,1146,978,764,432,293,19398,808.25,6/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
44,Pelham St (South),9,6,5,4,2,6,25,76,312,363,316,384,444,446,302,248,266,346,273,220,123,89,57,33,4355,181.4583333,6/08/2019
45,Melbourne Central-Elizabeth St (East),75,37,22,31,29,76,223,496,979,883,833,1155,1721,2052,1701,1745,1800,2332,1738,1212,790,626,393,221,21170,882.0833333,6/08/2019
46,QVM-Queen St (East),12,3,7,6,4,19,43,166,337,327,351,429,646,570,501,421,280,322,283,303,189,101,87,55,5462,227.5833333,6/08/2019
47,QVM-Therry St (South),86,62,52,41,35,28,52,80,84,117,156,300,335,376,243,205,204,195,171,115,128,120,105,108,3398,141.5833333,6/08/2019
48,Faraday St-Lygon St (West),22,9,2,2,9,3,37,88,186,208,222,319,433,357,383,319,329,477,561,405,287,206,135,38,5037,209.875,6/08/2019
49,QVM-Franklin St (North),43,7,17,4,3,11,50,83,153,124,184,250,292,278,190,172,199,245,139,136,111,106,54,25,2876,119.8333333,6/08/2019
50,Elizabeth St-Lonsdale St (South),39,24,17,5,16,24,59,221,759,587,484,534,964,921,884,750,815,934,616,536,393,321,206,66,10175,423.9583333,6/08/2019
51,Lincoln-Swanston (W),31,10,2,6,2,6,34,113,471,437,404,489,485,647,471,501,597,728,525,299,338,167,96,43,6902,287.5833333,6/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
53,Lonsdale St - Elizabeth St (North),25,11,13,16,3,35,93,186,439,454,367,506,705,764,647,581,632,847,579,439,351,203,121,85,8102,337.5833333,6/08/2019
54,Bourke St Bridge,12,12,,9,3,103,589,1980,4359,2997,1135,844,2090,1683,1068,1266,2813,4027,1660,463,252,110,86,42,27603,1200.130435,6/08/2019
55,Bourke St - Spencer St (North),56,41,28,11,18,107,433,1257,2251,1623,1030,1121,1634,1635,1189,1298,2004,2496,1389,671,450,415,258,161,21576,899,6/08/2019
56,RMIT Bld 80 - 445 Swanston Street,2,3,,2,,3,10,73,322,312,515,501,827,579,726,455,545,342,46,47,40,23,15,13,5401,245.5,6/08/2019
57,Flinders La-Swanston St (West) Temporary,111,77,30,29,73,156,468,1101,2130,1742,1737,1962,2571,2747,2795,2821,3131,3800,2819,1902,1466,1158,534,212,35572,1482.166667,6/08/2019
58,RMIT Building 14,71,37,11,10,12,37,101,323,958,954,1200,1183,1768,1513,1792,1455,1807,1719,1501,972,812,636,274,173,19319,804.9583333,6/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,6/08/2019
0,Bourke Street Mall (North),51,42,17,21,12,32,122,412,895,1063,1260,1980,3287,3584,2945,2991,3108,3648,2740,1616,854,463,290,108,31541,1314.208333,7/08/2019
1,Bourke Street Mall (South),6,1,1,1,5,50,52,196,445,603,796,1110,1954,2171,1598,1653,1687,1490,1037,387,299,136,124,37,15839,659.9583333,7/08/2019
2,Melbourne Central,162,94,82,42,24,94,168,392,772,731,1044,1466,2236,2413,2467,2304,2440,3072,2940,2637,2510,1425,821,500,30836,1284.833333,7/08/2019
3,Town Hall (West),109,54,28,14,29,75,212,529,1055,1158,1653,2164,3160,3256,2751,2940,2908,3471,2609,1655,1364,756,489,303,32742,1364.25,7/08/2019
4,Princes Bridge,101,34,16,49,52,127,379,1004,1908,1350,1680,1951,2387,1970,2040,2574,2572,3514,2415,1497,800,657,832,154,30063,1252.625,7/08/2019
5,Flinders Street Station Underpass,126,35,37,48,47,244,1057,1928,4238,2205,1232,1389,2044,2053,1815,2177,3028,5203,3131,1767,1245,947,643,343,36982,1540.916667,7/08/2019
6,Birrarung Marr,14,9,7,4,2,30,122,333,543,244,143,199,292,309,230,243,291,569,396,140,66,27,59,10,4282,178.4166667,7/08/2019
7,Webb Bridge,10,4,,1,3,33,89,278,508,265,178,216,606,544,279,260,378,569,360,163,80,51,36,12,4923,214.0434783,7/08/2019
8,Southern Cross Station,17,8,3,7,7,101,521,2257,4273,2599,976,814,1528,1361,949,1361,2980,4336,1824,579,241,99,98,39,26978,1124.083333,7/08/2019
9,Victoria Point,6,2,1,6,,18,94,402,667,539,324,265,504,494,308,412,660,923,411,176,99,30,21,7,6369,276.9130435,7/08/2019
10,Waterfront City,1,1,,1,,3,18,54,66,37,28,43,117,99,72,51,79,105,87,31,27,3,18,1,942,42.81818182,7/08/2019
11,New Quay,9,12,4,1,2,16,68,190,316,179,108,176,424,304,252,248,281,412,448,210,119,39,61,13,3892,162.1666667,7/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
13,Sandridge Bridge,78,15,12,6,21,91,294,686,1487,736,378,493,700,605,593,747,1100,1953,1059,613,404,230,224,123,12648,527,7/08/2019
14,State Library,89,45,28,23,8,56,96,314,748,741,858,1055,1676,1804,1797,1797,2067,2427,2144,1561,1285,809,427,158,22013,917.2083333,7/08/2019
15,Collins St (North),33,15,6,13,19,28,134,414,901,864,1061,1345,2069,2209,1647,1489,1430,1494,908,503,446,286,143,76,17533,730.5416667,7/08/2019
16,Collins Place (South),30,14,5,13,8,97,237,845,2051,1494,849,843,1634,1513,997,843,933,1353,800,323,321,183,122,106,15614,650.5833333,7/08/2019
17,Collins Place (North),19,2,,1,3,40,236,775,1649,1083,504,473,649,688,516,600,1015,1747,887,284,146,86,52,63,11518,500.7826087,7/08/2019
18,Chinatown-Swanston St (North),81,46,28,11,5,19,41,123,168,209,495,23,1367,1889,1825,1528,1043,1188,1410,1279,901,564,383,161,14787,616.125,7/08/2019
19,Chinatown-Lt Bourke St (South),48,43,60,19,7,36,24,95,202,163,270,373,766,819,528,519,494,725,1079,857,922,603,384,212,9248,385.3333333,7/08/2019
20,Bourke St-Russell St (West),122,77,51,74,35,33,74,203,377,394,545,1079,1601,1567,1149,1080,1104,1322,1132,1065,933,616,457,286,15376,640.6666667,7/08/2019
21,Flinders St-Elizabeth St (East),210,109,71,80,67,185,787,1496,3044,1997,1854,2034,3021,3129,3026,3161,3802,4700,3969,2750,2054,1530,1166,573,44815,1867.291667,7/08/2019
22,Spencer St-Collins St (South),39,9,4,11,5,59,264,740,1576,860,477,561,1013,1069,634,576,818,1166,642,323,235,152,92,62,11387,474.4583333,7/08/2019
23,Spencer St-Collins St (North),97,55,19,12,33,360,1161,2425,4677,2789,1828,1738,2439,2615,2071,2565,3727,5082,2820,1502,1033,803,589,340,40780,1699.166667,7/08/2019
24,Melbourne Convention Exhibition Centre,32,20,17,16,25,102,243,535,1120,764,490,591,868,974,997,1246,1206,1574,1126,490,291,166,162,73,13128,547,7/08/2019
25,QV Market-Elizabeth St (West),101,75,79,39,28,35,110,282,639,598,629,1103,2079,2048,1706,1753,2012,2354,1822,1606,1261,767,402,139,21667,902.7916667,7/08/2019
26,QV Market-Peel St,20,11,2,5,4,6,30,93,222,170,147,157,226,214,209,210,257,296,340,381,310,180,108,41,3639,151.625,7/08/2019
27,The Arts Centre,33,17,9,28,49,92,347,878,1863,1107,1596,2069,2777,1705,1684,2501,2317,2982,1869,1471,462,390,900,100,27246,1135.25,7/08/2019
28,St Kilda Rd-Alexandra Gardens,17,8,12,2,8,34,83,197,358,206,267,577,680,544,588,531,479,766,483,228,91,31,35,16,6241,260.0416667,7/08/2019
29,Lonsdale St (South),146,124,63,37,32,41,80,215,370,296,489,833,1095,961,759,691,720,1020,1086,918,824,676,445,279,12200,508.3333333,7/08/2019
30,Lygon St (West),21,13,14,3,15,12,42,92,134,172,186,198,316,318,260,281,241,360,343,350,399,312,137,53,4272,178,7/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
32,Flinders St-Spring St (West),12,8,1,3,10,23,86,213,597,468,215,224,356,356,272,293,404,600,318,135,92,41,68,23,4818,200.75,7/08/2019
33,Flinders St-Spark La,6,8,5,1,1,42,93,150,291,227,186,138,291,358,229,254,263,409,213,86,69,20,27,5,3372,140.5,7/08/2019
34,Southbank,80,19,13,19,16,114,640,924,1891,1113,910,1047,2022,2044,1483,1305,1625,2553,1997,1119,779,498,398,163,22772,948.8333333,7/08/2019
35,Queen St (West),25,8,9,3,3,17,75,249,773,599,512,542,948,936,699,618,651,834,509,283,251,190,108,46,8888,370.3333333,7/08/2019
36,Lygon St (East),10,5,8,5,7,6,15,38,88,80,169,195,295,297,210,196,184,297,275,216,221,129,56,21,3023,125.9583333,7/08/2019
37,Alfred Place,12,4,2,2,9,28,100,306,836,696,468,561,1345,1259,612,466,535,664,373,187,84,60,73,32,8714,363.0833333,7/08/2019
38,Lonsdale St-Spring St (West),25,3,9,5,7,19,76,300,853,620,698,687,1141,1235,718,626,650,834,529,265,293,133,400,33,10159,423.2916667,7/08/2019
39,Grattan St-Swanston St (West),15,9,2,7,2,18,59,173,591,691,1030,1064,1170,1233,1014,998,1119,1201,819,362,421,210,94,59,12361,515.0416667,7/08/2019
40,Monash Rd-Swanston St (West),8,10,,1,,12,39,168,656,790,651,767,1077,996,951,886,1025,1248,814,495,328,92,75,28,11117,505.3181818,7/08/2019
41,Tin Alley-Swanston St (West),12,6,3,,,4,26,73,222,268,240,252,301,325,336,298,312,370,293,188,123,80,48,19,3799,172.6818182,7/08/2019
42,Little Collins St-Swanston St (East),73,23,21,20,17,46,163,507,1060,777,903,1108,2003,2166,1784,1604,1773,2155,1621,1012,883,531,360,142,20752,864.6666667,7/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
44,Pelham St (South),5,2,,3,2,16,97,79,250,312,264,271,415,449,342,241,350,368,300,160,163,126,81,37,4333,188.3913043,7/08/2019
45,Melbourne Central-Elizabeth St (East),96,48,37,21,28,66,206,509,1203,980,1005,1274,1845,2139,1757,1919,2029,2588,2057,1473,890,528,351,169,23218,967.4166667,7/08/2019
46,QVM-Queen St (East),25,11,6,11,5,9,48,137,349,273,284,317,430,433,350,405,562,1171,1557,1332,973,553,285,76,9602,400.0833333,7/08/2019
47,QVM-Therry St (South),61,45,56,25,10,14,45,51,95,101,120,148,243,263,190,222,245,510,1055,864,506,192,137,51,5249,218.7083333,7/08/2019
48,Faraday St-Lygon St (West),21,5,1,6,4,7,20,76,162,215,272,283,465,436,386,360,364,525,466,408,384,329,186,48,5429,226.2083333,7/08/2019
49,QVM-Franklin St (North),39,30,20,5,7,3,27,85,175,161,188,222,291,334,228,200,270,367,348,311,244,142,66,44,3807,158.625,7/08/2019
50,Elizabeth St-Lonsdale St (South),42,30,17,8,5,27,54,215,771,536,446,580,990,1051,920,846,871,1033,797,576,409,299,201,62,10786,449.4166667,7/08/2019
51,Lincoln-Swanston (W),21,9,3,10,,6,41,149,380,364,1092,636,562,677,593,564,680,925,629,268,309,188,91,35,8232,357.9130435,7/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
53,Lonsdale St - Elizabeth St (North),23,16,10,3,7,21,85,152,416,429,395,525,937,884,602,570,619,864,674,459,411,222,132,78,8534,355.5833333,7/08/2019
54,Bourke St Bridge,21,14,5,1,4,90,537,1963,4387,2714,1112,944,2273,1986,1192,1400,2711,3732,1556,550,282,132,110,31,27747,1156.125,7/08/2019
55,Bourke St - Spencer St (North),70,50,32,16,20,111,410,1197,2347,1688,1116,1058,1791,1672,1239,1404,2001,2482,1440,751,515,354,249,164,22177,924.0416667,7/08/2019
56,RMIT Bld 80 - 445 Swanston Street,3,1,1,2,,1,5,69,512,399,1202,620,847,751,820,536,715,354,49,30,14,7,2,1,6941,301.7826087,7/08/2019
57,Flinders La-Swanston St (West) Temporary,82,32,21,13,39,173,451,1051,920,,,,,,,,,,,,,,,,2782,309.1111111,7/08/2019
58,RMIT Building 14,50,42,23,24,12,39,103,311,1111,974,1317,1189,1809,1692,1844,1396,1996,1878,1812,991,969,513,266,145,20506,854.4166667,7/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,7/08/2019
0,Bourke Street Mall (North),54,37,22,13,14,33,122,397,956,1058,1335,1969,3156,3292,2890,2986,3100,3384,3072,1945,1401,648,326,170,32380,1349.166667,8/08/2019
1,Bourke Street Mall (South),21,12,13,12,11,17,60,214,481,578,892,1271,2180,2380,1835,1792,1771,1798,1411,741,581,331,117,58,18577,774.0416667,8/08/2019
2,Melbourne Central,160,115,62,47,17,85,159,387,727,863,1122,1372,2257,2229,2146,2073,2252,2635,2943,2001,2084,1792,902,600,29030,1209.583333,8/08/2019
3,Town Hall (West),85,67,44,45,28,69,210,501,1070,1164,1515,2033,2957,3353,2756,2909,2992,3481,2949,1863,1594,1227,479,325,33716,1404.833333,8/08/2019
4,Princes Bridge,64,42,24,32,49,88,368,958,1952,1510,1318,1688,2163,1877,2054,2381,2276,3279,2638,1799,1001,1638,797,297,30293,1262.208333,8/08/2019
5,Flinders Street Station Underpass,108,76,14,8,52,234,1140,2096,3915,2450,1365,1433,1990,2151,1823,2156,3139,5002,3021,1583,1274,1053,635,463,37181,1549.208333,8/08/2019
6,Birrarung Marr,10,5,1,1,2,29,104,290,485,207,130,139,329,345,164,164,252,445,295,86,51,52,13,18,3617,150.7083333,8/08/2019
7,Webb Bridge,7,5,,2,,30,79,279,472,306,160,207,583,551,259,231,294,541,311,134,85,60,25,11,4632,210.5454545,8/08/2019
8,Southern Cross Station,12,6,3,2,6,100,568,2353,4278,2873,944,831,1571,1412,907,1441,3081,4281,1825,558,227,127,78,70,27554,1148.083333,8/08/2019
9,Victoria Point,8,3,4,5,,25,90,371,660,554,323,308,560,435,344,345,638,881,434,196,85,49,34,12,6364,276.6956522,8/08/2019
10,Waterfront City,,6,,4,1,2,11,33,59,21,31,22,121,88,51,39,66,94,44,28,40,18,3,5,787,35.77272727,8/08/2019
11,New Quay,10,7,1,,2,18,44,144,301,202,143,148,363,306,232,179,273,386,277,129,149,63,30,23,3430,149.1304348,8/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
13,Sandridge Bridge,58,19,4,2,35,95,293,664,1335,802,449,430,579,623,592,701,1029,1786,1071,469,414,332,198,181,12161,506.7083333,8/08/2019
14,State Library,57,54,11,11,11,42,92,305,680,698,885,1074,1609,1810,1702,1645,1908,2272,2126,1476,1400,942,473,244,21527,896.9583333,8/08/2019
15,Collins St (North),31,24,13,14,5,26,132,436,919,918,1020,1346,2074,2094,1607,1511,1382,1483,1025,501,430,357,176,106,17630,734.5833333,8/08/2019
16,Collins Place (South),20,17,1,1,8,97,239,878,2041,1552,974,818,1639,1530,1038,810,820,1425,803,357,342,185,145,101,15841,660.0416667,8/08/2019
17,Collins Place (North),10,9,2,6,1,45,185,743,1585,1033,474,452,603,634,517,631,1066,1693,804,326,175,100,58,67,11219,467.4583333,8/08/2019
18,Chinatown-Swanston St (North),65,87,21,30,17,24,45,122,160,191,386,581,897,1044,934,846,892,1120,1383,1321,1099,853,445,257,12820,534.1666667,8/08/2019
19,Chinatown-Lt Bourke St (South),67,54,43,8,3,26,21,89,198,189,274,398,773,757,523,499,469,774,872,719,749,551,365,164,8585,357.7083333,8/08/2019
20,Bourke St-Russell St (West),141,50,58,67,32,49,103,205,452,358,576,712,1504,1488,1035,1074,1094,1415,1361,1031,983,688,532,342,15350,639.5833333,8/08/2019
21,Flinders St-Elizabeth St (East),166,118,63,69,53,173,738,1654,2891,2294,1853,1998,3180,3462,3030,3188,3617,4645,3679,2681,2179,1712,1092,777,45312,1888,8/08/2019
22,Spencer St-Collins St (South),42,17,72,57,6,50,265,671,1461,899,528,523,962,1058,603,635,780,1329,652,315,254,181,114,75,11549,481.2083333,8/08/2019
23,Spencer St-Collins St (North),132,30,26,14,23,339,1051,2459,4587,3047,1713,1652,2529,2418,2052,2580,3871,5098,3017,1362,1070,916,575,346,40907,1704.458333,8/08/2019
24,Melbourne Convention Exhibition Centre,47,21,15,13,32,66,179,462,816,525,419,591,781,961,881,1021,1181,1480,1002,337,270,182,99,102,11483,478.4583333,8/08/2019
25,QV Market-Elizabeth St (West),89,57,38,31,36,80,152,336,719,1292,1591,1751,2602,2673,1921,1698,1152,906,697,605,455,439,194,139,19653,818.875,8/08/2019
26,QV Market-Peel St,21,9,11,3,6,8,32,91,152,212,210,260,319,294,249,207,213,218,209,151,129,176,66,29,3275,136.4583333,8/08/2019
27,The Arts Centre,43,22,18,41,63,90,321,893,1867,1438,1159,1533,2315,1589,1735,2287,2086,2731,2099,1875,577,1116,921,146,26965,1123.541667,8/08/2019
28,St Kilda Rd-Alexandra Gardens,7,4,2,1,2,24,55,170,324,256,227,361,551,588,517,522,505,531,427,172,121,142,49,25,5583,232.625,8/08/2019
29,Lonsdale St (South),109,89,51,30,11,55,70,160,347,293,312,575,929,916,704,671,654,1004,1095,920,874,655,479,297,11300,470.8333333,8/08/2019
30,Lygon St (West),35,9,9,,10,11,48,97,165,170,153,236,416,412,287,212,250,330,341,383,409,293,170,55,4501,195.6956522,8/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
32,Flinders St-Spring St (West),30,,4,,4,19,86,249,531,446,197,237,313,521,364,290,418,552,275,98,97,57,58,32,4878,221.7272727,8/08/2019
33,Flinders St-Spark La,2,2,,,,22,56,105,329,281,254,177,304,350,233,249,306,380,194,111,88,68,32,28,3571,170.047619,8/08/2019
34,Southbank,67,25,16,2,13,110,708,951,1828,1156,797,875,1965,1987,1175,1231,1534,2414,1751,1031,840,727,391,252,21846,910.25,8/08/2019
35,Queen St (West),20,10,5,1,8,18,56,222,687,586,523,532,1201,998,663,654,592,814,590,286,290,216,90,76,9138,380.75,8/08/2019
36,Lygon St (East),11,,,1,9,8,9,36,92,140,121,262,413,277,249,193,127,262,235,228,217,160,73,21,3144,142.9090909,8/08/2019
37,Alfred Place,8,6,,2,9,16,105,371,736,850,484,524,1399,1357,596,477,502,680,444,170,119,76,65,34,9030,392.6086957,8/08/2019
38,Lonsdale St-Spring St (West),16,6,5,12,13,17,99,311,785,651,651,608,964,863,717,564,542,789,598,316,209,127,375,54,9292,387.1666667,8/08/2019
39,Grattan St-Swanston St (West),49,35,4,3,2,16,39,192,608,648,735,930,1142,1332,1008,983,957,1163,837,436,522,192,89,55,11977,499.0416667,8/08/2019
40,Monash Rd-Swanston St (West),28,28,1,,1,7,24,157,638,828,674,558,524,945,745,776,824,933,750,373,473,214,55,54,9610,417.826087,8/08/2019
41,Tin Alley-Swanston St (West),15,18,1,,,5,15,53,213,226,252,264,296,349,298,263,265,318,261,146,175,82,33,34,3582,162.8181818,8/08/2019
42,Little Collins St-Swanston St (East),63,39,10,7,23,53,162,552,1053,905,803,1045,1954,2150,1635,1621,1735,2086,1829,1093,1214,883,406,257,21578,899.0833333,8/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
44,Pelham St (South),13,2,2,,1,5,25,86,239,300,246,259,403,485,254,237,306,306,246,191,118,116,66,29,3935,171.0869565,8/08/2019
45,Melbourne Central-Elizabeth St (East),91,44,21,25,16,60,182,477,1062,939,984,1151,1815,2155,1759,1639,1990,2442,1811,1292,988,846,354,197,22340,930.8333333,8/08/2019
46,QVM-Queen St (East),20,7,9,6,5,12,57,175,301,344,385,480,723,668,502,439,306,313,267,240,161,201,91,42,5754,239.75,8/08/2019
47,QVM-Therry St (South),44,36,22,21,17,23,34,96,137,177,256,342,424,508,286,191,172,134,165,100,89,86,53,71,3484,145.1666667,8/08/2019
48,Faraday St-Lygon St (West),26,26,5,1,7,3,22,91,179,227,254,349,380,465,395,360,396,529,607,483,369,288,166,39,5667,236.125,8/08/2019
49,QVM-Franklin St (North),34,14,7,13,6,17,39,57,180,157,201,198,321,306,235,190,184,203,219,157,97,93,58,30,3016,125.6666667,8/08/2019
50,Elizabeth St-Lonsdale St (South),27,28,15,15,3,20,49,220,696,592,503,553,919,1056,782,811,854,881,708,562,514,367,214,85,10474,436.4166667,8/08/2019
51,Lincoln-Swanston (W),13,12,8,10,,10,63,99,352,373,343,419,466,512,543,499,525,763,524,307,333,175,58,46,6453,280.5652174,8/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
53,Lonsdale St - Elizabeth St (North),22,20,9,6,9,14,99,165,385,382,406,514,718,853,677,632,587,859,710,424,378,260,110,81,8320,346.6666667,8/08/2019
54,Bourke St Bridge,27,11,1,1,9,107,608,2212,4895,2989,1036,946,2248,2050,1116,1346,2687,3853,1593,640,323,171,111,77,29057,1210.708333,8/08/2019
55,Bourke St - Spencer St (North),60,62,35,9,35,137,370,1266,2376,1804,1117,1052,1729,1661,1192,1287,2070,2618,1454,790,521,426,271,185,22527,938.625,8/08/2019
56,RMIT Bld 80 - 445 Swanston Street,5,2,,,,3,10,90,534,450,376,530,872,649,877,535,561,285,46,52,32,27,4,12,5952,283.4285714,8/08/2019
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
58,RMIT Building 14,74,30,9,22,17,42,100,324,1080,928,1219,1322,1887,1615,1824,1568,1857,1699,1577,1016,870,587,271,188,20126,838.5833333,8/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,8/08/2019
0,Bourke Street Mall (North),98,59,66,27,29,41,102,279,859,1011,1317,1927,2918,2974,2556,2910,3135,4076,3476,2439,1935,1176,670,436,34516,1438.166667,9/08/2019
1,Bourke Street Mall (South),44,15,18,12,12,18,56,177,506,543,955,1356,2142,2252,1842,1717,1907,2104,1439,940,744,436,231,174,19640,818.3333333,9/08/2019
2,Melbourne Central,270,154,129,96,33,107,150,268,641,694,886,1113,2057,1935,1975,2157,2339,2984,3235,2755,2652,2430,1906,1447,32413,1350.541667,9/08/2019
3,Town Hall (West),146,56,71,38,58,124,301,458,956,1106,1505,1893,2728,2863,2630,2690,3018,3669,3223,2146,1805,1712,1119,954,35269,1469.541667,9/08/2019
4,Princes Bridge,132,79,45,45,44,120,345,709,1592,1100,1069,1307,1532,1257,1590,1596,2048,3080,2794,2061,1177,2256,1483,791,28252,1177.166667,9/08/2019
