,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
39,Grattan St-Swanston St (West),90,47,26,16,,21,41,166,574,687,819,986,1195,1198,1048,1025,906,1068,724,396,254,265,103,31,11686,508.0869565,1/08/2019
40,Monash Rd-Swanston St (West),50,22,33,6,,5,28,133,674,707,700,852,858,802,735,919,902,1034,760,524,262,326,86,28,10446,454.173913,1/08/2019
41,Tin Alley-Swanston St (West),52,22,22,3,,4,18,51,255,220,258,253,331,314,314,301,317,367,247,217,127,111,58,17,3879,168.6521739,1/08/2019
42,Little Collins St-Swanston St (East),115,48,25,20,30,34,144,511,1006,787,821,1035,1813,2157,1568,1649,1694,2013,1512,1148,1012,876,607,314,20939,872.4583333,1/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
44,Pelham St (South),20,4,4,1,,5,35,122,352,332,269,302,414,441,285,275,282,337,231,156,89,105,72,34,4167,181.173913,1/08/2019
45,Melbourne Central-Elizabeth St (East),91,58,22,32,24,76,182,495,1042,890,953,1208,1949,2135,1909,1837,2042,2574,1909,1263,1186,818,458,251,23404,975.1666667,1/08/2019
46,QVM-Queen St (East),27,2,3,16,7,12,58,177,332,312,355,490,650,674,514,450,351,353,281,184,169,177,96,65,5755,239.7916667,1/08/2019
47,QVM-Therry St (South),81,45,48,36,15,17,31,89,143,224,259,334,430,443,281,165,189,279,136,120,135,103,91,71,3765,156.875,1/08/2019
48,Faraday St-Lygon St (West),46,57,4,6,10,,47,87,193,204,223,309,403,499,409,339,395,480,545,458,333,299,204,57,5607,243.7826087,1/08/2019
49,QVM-Franklin St (North),20,17,14,10,9,30,24,130,189,164,207,255,281,280,239,204,219,209,206,173,165,139,77,29,3290,137.0833333,1/08/2019
50,Elizabeth St-Lonsdale St (South),23,27,14,7,2,31,58,210,647,617,522,611,1075,1044,858,770,796,948,760,633,600,376,191,149,10969,457.0416667,1/08/2019
51,Lincoln-Swanston (W),38,31,15,18,,3,35,97,301,298,366,461,538,554,546,573,543,733,592,300,211,227,99,38,6617,287.6956522,1/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
53,Lonsdale St - Elizabeth St (North),34,19,8,5,3,22,88,160,423,396,390,515,744,886,586,586,679,814,665,393,425,251,138,87,8317,346.5416667,1/08/2019
54,Bourke St Bridge,19,5,6,11,10,80,537,1925,4199,2865,1045,967,2329,1960,1083,1265,2725,3753,1547,556,242,155,160,81,27525,1146.875,1/08/2019
55,Bourke St - Spencer St (North),69,34,38,18,28,132,394,1163,2342,1683,1065,1093,1730,1751,1196,1421,1992,2468,1429,831,571,422,339,175,22384,932.6666667,1/08/2019
56,RMIT Bld 80 - 445 Swanston Street,2,4,6,2,,3,6,73,521,448,610,656,937,727,816,447,564,340,97,46,48,53,21,6,6433,279.6956522,1/08/2019
57,Flinders La-Swanston St (West) Temporary,34,24,36,38,39,157,410,1094,2098,1735,2010,2111,2737,3049,2861,2836,3168,3991,2959,2042,1508,1285,536,187,36945,1539.375,1/08/2019
