,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
26,QV Market-Peel St,21.0,,2.0,4.0,2.0,14.0,25.0,104.0,207.0,213.0,177.0,201.0,263.0,315.0,229.0,186.0,212.0,259.0,189.0,158.0,98.0,123.0,49.0,67.0,01-08-2019
27,The Arts Centre,53.0,18.0,5.0,35.0,51.0,84.0,305.0,838.0,1826.0,1284.0,1055.0,1375.0,1653.0,1884.0,1582.0,1519.0,1753.0,2280.0,1519.0,972.0,519.0,442.0,595.0,113.0,01-08-2019
28,St Kilda Rd-Alexandra Gardens,9.0,11.0,18.0,5.0,2.0,19.0,90.0,188.0,287.0,107.0,48.0,308.0,477.0,541.0,445.0,520.0,507.0,650.0,349.0,262.0,166.0,62.0,84.0,37.0,01-08-2019
29,Lonsdale St (South),155.0,118.0,85.0,37.0,25.0,44.0,71.0,150.0,330.0,273.0,364.0,532.0,997.0,1003.0,742.0,702.0,735.0,1066.0,1079.0,871.0,854.0,694.0,548.0,319.0,01-08-2019
30,Lygon St (West),40.0,17.0,4.0,7.0,15.0,14.0,43.0,76.0,158.0,160.0,139.0,189.0,297.0,295.0,250.0,230.0,212.0,331.0,420.0,404.0,335.0,335.0,217.0,72.0,01-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,01-08-2019
32,Flinders St-Spring St (West),12.0,3.0,4.0,,3.0,16.0,71.0,256.0,552.0,431.0,211.0,203.0,321.0,325.0,235.0,249.0,424.0,564.0,299.0,118.0,79.0,60.0,83.0,21.0,01-08-2019
33,Flinders St-Spark La,16.0,8.0,2.0,2.0,5.0,33.0,50.0,162.0,372.0,250.0,161.0,186.0,280.0,329.0,210.0,227.0,268.0,344.0,195.0,102.0,71.0,63.0,63.0,33.0,01-08-2019
34,Southbank,93.0,48.0,33.0,16.0,11.0,106.0,677.0,914.0,1805.0,1001.0,746.0,879.0,2059.0,2102.0,1221.0,1392.0,1476.0,2521.0,1719.0,1288.0,905.0,736.0,491.0,261.0,01-08-2019
35,Queen St (West),28.0,14.0,8.0,5.0,5.0,30.0,81.0,250.0,689.0,533.0,522.0,517.0,1017.0,971.0,669.0,507.0,601.0,739.0,512.0,305.0,256.0,204.0,152.0,73.0,01-08-2019
