,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,11-08-2019
76,Total,10947.0,6698.0,4578.0,3655.0,2429.0,2257.0,2306.0,3743.0,7418.0,15427.0,28479.0,39224.0,51736.0,53419.0,50538.0,49085.0,42778.0,38335.0,34835.0,23383.0,17297.0,12186.0,8314.0,4728.0,11-08-2019
0,Bourke Street Mall (North),43.0,40.0,36.0,13.0,18.0,47.0,107.0,345.0,839.0,1082.0,1376.0,1941.0,3076.0,3352.0,2680.0,2589.0,2821.0,3018.0,2305.0,1409.0,711.0,484.0,223.0,121.0,12-08-2019
1,Bourke Street Mall (South),10.0,1.0,13.0,3.0,3.0,11.0,41.0,200.0,553.0,694.0,1141.0,1400.0,2421.0,2715.0,1997.0,1865.0,1878.0,1848.0,1282.0,566.0,334.0,235.0,103.0,69.0,12-08-2019
2,Melbourne Central,257.0,131.0,61.0,33.0,27.0,85.0,153.0,393.0,780.0,780.0,935.0,1326.0,2026.0,2283.0,2118.0,1989.0,2276.0,2668.0,2606.0,2323.0,2026.0,1336.0,847.0,431.0,12-08-2019
3,Town Hall (West),110.0,66.0,35.0,15.0,36.0,77.0,163.0,482.0,1029.0,1160.0,1546.0,1980.0,2768.0,3305.0,2786.0,2857.0,2723.0,3153.0,2502.0,1460.0,1374.0,765.0,435.0,257.0,12-08-2019
4,Princes Bridge,75.0,35.0,15.0,33.0,60.0,109.0,361.0,954.0,1891.0,1275.0,1132.0,1298.0,1688.0,1950.0,1849.0,1975.0,2177.0,3116.0,2064.0,1103.0,886.0,1308.0,513.0,200.0,12-08-2019
5,Flinders Street Station Underpass,117.0,37.0,18.0,21.0,36.0,242.0,1003.0,1906.0,4135.0,2271.0,1158.0,1408.0,2187.0,2077.0,1694.0,2082.0,2949.0,4972.0,2966.0,1375.0,1090.0,812.0,591.0,337.0,12-08-2019
6,Birrarung Marr,3.0,1.0,,1.0,2.0,23.0,75.0,296.0,585.0,224.0,105.0,149.0,270.0,521.0,124.0,166.0,234.0,527.0,346.0,131.0,78.0,48.0,17.0,4.0,12-08-2019
7,Webb Bridge,7.0,7.0,1.0,1.0,2.0,23.0,51.0,263.0,451.0,229.0,169.0,151.0,610.0,528.0,224.0,262.0,340.0,553.0,337.0,141.0,90.0,67.0,26.0,10.0,12-08-2019
8,Southern Cross Station,15.0,9.0,1.0,1.0,3.0,86.0,581.0,2297.0,4439.0,2726.0,791.0,709.0,1414.0,1219.0,819.0,1362.0,3168.0,4604.0,1859.0,546.0,206.0,112.0,82.0,44.0,12-08-2019
9,Victoria Point,4.0,3.0,,1.0,15.0,30.0,123.0,351.0,648.0,499.0,288.0,246.0,536.0,413.0,292.0,321.0,540.0,789.0,336.0,146.0,72.0,47.0,31.0,8.0,12-08-2019
10,Waterfront City,1.0,3.0,,1.0,,,7.0,35.0,58.0,36.0,25.0,41.0,88.0,92.0,60.0,48.0,50.0,103.0,82.0,55.0,26.0,31.0,36.0,7.0,12-08-2019
11,New Quay,14.0,5.0,2.0,1.0,1.0,10.0,35.0,141.0,324.0,192.0,187.0,181.0,370.0,325.0,215.0,195.0,285.0,407.0,389.0,217.0,176.0,136.0,95.0,27.0,12-08-2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
13,Sandridge Bridge,60.0,26.0,12.0,4.0,25.0,104.0,252.0,709.0,1506.0,695.0,652.0,494.0,650.0,922.0,595.0,771.0,1120.0,1974.0,1131.0,511.0,364.0,289.0,244.0,174.0,12-08-2019
14,State Library,41.0,46.0,22.0,7.0,13.0,27.0,78.0,309.0,666.0,648.0,805.0,973.0,1661.0,1890.0,1560.0,1787.0,1985.0,2153.0,1946.0,1474.0,1203.0,797.0,449.0,192.0,12-08-2019
15,Collins St (North),15.0,11.0,19.0,4.0,6.0,43.0,117.0,454.0,860.0,950.0,1202.0,1352.0,2105.0,2137.0,1612.0,1510.0,1328.0,1395.0,866.0,449.0,349.0,223.0,128.0,68.0,12-08-2019
16,Collins Place (South),7.0,8.0,2.0,11.0,12.0,100.0,241.0,796.0,2051.0,1488.0,942.0,787.0,1464.0,1652.0,954.0,861.0,746.0,1314.0,786.0,274.0,340.0,149.0,91.0,84.0,12-08-2019
17,Collins Place (North),10.0,,4.0,2.0,3.0,44.0,173.0,647.0,1554.0,949.0,493.0,401.0,529.0,621.0,431.0,528.0,1032.0,1821.0,807.0,241.0,178.0,69.0,55.0,45.0,12-08-2019
18,Chinatown-Swanston St (North),69.0,35.0,47.0,12.0,10.0,15.0,42.0,86.0,171.0,199.0,366.0,640.0,948.0,1071.0,849.0,820.0,816.0,972.0,1109.0,1051.0,708.0,454.0,321.0,110.0,12-08-2019
19,Chinatown-Lt Bourke St (South),32.0,47.0,19.0,9.0,9.0,19.0,24.0,93.0,192.0,240.0,325.0,522.0,940.0,997.0,648.0,621.0,544.0,720.0,818.0,854.0,696.0,490.0,287.0,128.0,12-08-2019
20,Bourke St-Russell St (West),169.0,162.0,66.0,49.0,30.0,55.0,85.0,197.0,395.0,396.0,543.0,699.0,1503.0,1491.0,1118.0,1082.0,1107.0,1381.0,1179.0,977.0,930.0,718.0,406.0,270.0,12-08-2019
21,Flinders St-Elizabeth St (East),200.0,130.0,79.0,60.0,65.0,182.0,760.0,1591.0,2886.0,2091.0,1833.0,2247.0,3091.0,3522.0,3042.0,3186.0,3646.0,4798.0,3938.0,2639.0,2145.0,1456.0,1072.0,530.0,12-08-2019
22,Spencer St-Collins St (South),20.0,16.0,5.0,10.0,6.0,65.0,248.0,710.0,1477.0,901.0,472.0,560.0,942.0,988.0,492.0,519.0,757.0,1245.0,591.0,345.0,218.0,173.0,118.0,53.0,12-08-2019
23,Spencer St-Collins St (North),120.0,43.0,16.0,12.0,45.0,378.0,1228.0,2520.0,4812.0,3113.0,1604.0,1865.0,2508.0,2375.0,2095.0,2586.0,3897.0,5338.0,2947.0,1463.0,959.0,730.0,506.0,257.0,12-08-2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
25,QV Market-Elizabeth St (West),73.0,72.0,44.0,34.0,32.0,38.0,97.0,234.0,552.0,587.0,575.0,655.0,1087.0,1038.0,707.0,671.0,570.0,807.0,773.0,556.0,462.0,391.0,247.0,186.0,12-08-2019
26,QV Market-Peel St,15.0,11.0,1.0,2.0,1.0,9.0,27.0,74.0,157.0,140.0,140.0,149.0,200.0,172.0,181.0,158.0,162.0,236.0,212.0,119.0,117.0,99.0,60.0,46.0,12-08-2019
27,The Arts Centre,36.0,15.0,8.0,40.0,46.0,83.0,338.0,886.0,1859.0,1116.0,1015.0,1115.0,1454.0,1629.0,1470.0,1537.0,1832.0,2625.0,1767.0,1042.0,472.0,1162.0,297.0,109.0,12-08-2019
28,St Kilda Rd-Alexandra Gardens,2.0,7.0,,3.0,3.0,23.0,84.0,176.0,326.0,260.0,258.0,415.0,578.0,647.0,671.0,595.0,587.0,800.0,441.0,210.0,168.0,110.0,56.0,20.0,12-08-2019
29,Lonsdale St (South),189.0,167.0,78.0,65.0,54.0,63.0,67.0,152.0,443.0,320.0,383.0,547.0,950.0,990.0,704.0,684.0,631.0,994.0,967.0,771.0,768.0,530.0,420.0,215.0,12-08-2019
30,Lygon St (West),38.0,14.0,16.0,6.0,9.0,25.0,36.0,81.0,144.0,148.0,208.0,207.0,319.0,380.0,271.0,252.0,263.0,314.0,385.0,329.0,325.0,302.0,197.0,91.0,12-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
32,Flinders St-Spring St (West),13.0,3.0,1.0,,1.0,19.0,68.0,205.0,577.0,429.0,249.0,210.0,260.0,292.0,219.0,275.0,422.0,597.0,257.0,111.0,65.0,65.0,31.0,17.0,12-08-2019
33,Flinders St-Spark La,,7.0,1.0,,1.0,21.0,64.0,139.0,337.0,249.0,212.0,184.0,288.0,388.0,226.0,184.0,262.0,376.0,234.0,108.0,80.0,69.0,41.0,20.0,12-08-2019
34,Southbank,80.0,31.0,12.0,9.0,16.0,110.0,648.0,922.0,1893.0,1028.0,921.0,1124.0,2259.0,1906.0,981.0,1077.0,1390.0,2133.0,1685.0,862.0,717.0,572.0,338.0,158.0,12-08-2019
35,Queen St (West),13.0,11.0,12.0,1.0,,16.0,59.0,221.0,677.0,593.0,430.0,453.0,1060.0,957.0,599.0,495.0,573.0,742.0,386.0,267.0,167.0,130.0,75.0,33.0,12-08-2019
36,Lygon St (East),20.0,1.0,3.0,2.0,8.0,3.0,11.0,49.0,103.0,145.0,131.0,156.0,292.0,259.0,211.0,189.0,194.0,211.0,228.0,152.0,181.0,122.0,53.0,28.0,12-08-2019
37,Alfred Place,9.0,2.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,12-08-2019
38,Lonsdale St-Spring St (West),10.0,8.0,1.0,17.0,12.0,36.0,82.0,232.0,802.0,657.0,609.0,521.0,973.0,905.0,562.0,562.0,535.0,621.0,344.0,181.0,192.0,87.0,62.0,24.0,12-08-2019
39,Grattan St-Swanston St (West),22.0,17.0,4.0,16.0,7.0,20.0,49.0,157.0,588.0,602.0,696.0,1047.0,1148.0,1063.0,925.0,948.0,884.0,1080.0,713.0,456.0,364.0,259.0,90.0,51.0,12-08-2019
40,Monash Rd-Swanston St (West),15.0,5.0,,2.0,3.0,8.0,28.0,158.0,553.0,640.0,643.0,530.0,372.0,542.0,527.0,541.0,719.0,1006.0,725.0,409.0,476.0,328.0,119.0,45.0,12-08-2019
41,Tin Alley-Swanston St (West),14.0,2.0,3.0,1.0,4.0,2.0,23.0,65.0,202.0,203.0,200.0,306.0,264.0,351.0,246.0,309.0,255.0,382.0,309.0,166.0,133.0,100.0,70.0,11.0,12-08-2019
42,Little Collins St-Swanston St (East),55.0,19.0,13.0,14.0,21.0,54.0,136.0,513.0,966.0,770.0,918.0,1103.0,1905.0,2219.0,1626.0,1602.0,1553.0,2053.0,1596.0,1057.0,989.0,665.0,333.0,180.0,12-08-2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
44,Pelham St (South),10.0,4.0,1.0,,3.0,6.0,40.0,76.0,417.0,296.0,220.0,281.0,381.0,392.0,251.0,285.0,254.0,400.0,312.0,215.0,133.0,100.0,49.0,14.0,12-08-2019
45,Melbourne Central-Elizabeth St (East),86.0,61.0,48.0,22.0,49.0,82.0,191.0,528.0,1100.0,992.0,977.0,1429.0,1967.0,2076.0,1725.0,1842.0,1927.0,2413.0,1798.0,1228.0,854.0,488.0,377.0,186.0,12-08-2019
46,QVM-Queen St (East),23.0,11.0,1.0,4.0,1.0,14.0,30.0,129.0,278.0,261.0,243.0,264.0,348.0,348.0,282.0,280.0,254.0,326.0,258.0,164.0,147.0,137.0,71.0,48.0,12-08-2019
47,QVM-Therry St (South),51.0,31.0,17.0,21.0,12.0,10.0,34.0,63.0,96.0,104.0,115.0,129.0,209.0,213.0,135.0,122.0,146.0,133.0,121.0,94.0,107.0,107.0,117.0,77.0,12-08-2019
48,Faraday St-Lygon St (West),12.0,6.0,3.0,2.0,7.0,,22.0,91.0,169.0,209.0,318.0,340.0,460.0,531.0,407.0,392.0,330.0,440.0,479.0,377.0,319.0,266.0,177.0,38.0,12-08-2019
49,QVM-Franklin St (North),26.0,11.0,9.0,5.0,7.0,11.0,34.0,68.0,153.0,156.0,190.0,149.0,255.0,293.0,192.0,160.0,210.0,218.0,169.0,148.0,108.0,75.0,57.0,52.0,12-08-2019
50,Elizabeth St-Lonsdale St (South),21.0,36.0,9.0,8.0,7.0,25.0,52.0,238.0,706.0,619.0,505.0,545.0,937.0,1060.0,848.0,789.0,767.0,850.0,648.0,479.0,377.0,298.0,112.0,44.0,12-08-2019
51,Lincoln-Swanston (W),28.0,19.0,8.0,12.0,3.0,5.0,40.0,125.0,372.0,440.0,278.0,417.0,433.0,515.0,444.0,491.0,488.0,761.0,491.0,323.0,261.0,255.0,100.0,35.0,12-08-2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
53,Lonsdale St - Elizabeth St (North),43.0,11.0,19.0,8.0,8.0,22.0,91.0,162.0,428.0,409.0,465.0,485.0,734.0,872.0,619.0,588.0,635.0,779.0,600.0,412.0,347.0,210.0,136.0,71.0,12-08-2019
54,Bourke St Bridge,13.0,11.0,3.0,9.0,33.0,103.0,603.0,2186.0,5158.0,3305.0,1196.0,918.0,2380.0,1839.0,1145.0,1329.0,2871.0,4279.0,1512.0,487.0,242.0,107.0,98.0,33.0,12-08-2019
55,Bourke St - Spencer St (North),73.0,65.0,36.0,16.0,21.0,109.0,399.0,1186.0,2355.0,1650.0,1166.0,1064.0,1619.0,1630.0,1044.0,1206.0,1968.0,2571.0,1404.0,720.0,429.0,308.0,248.0,153.0,12-08-2019
56,RMIT Bld 80 - 445 Swanston Street,2.0,4.0,,1.0,,3.0,8.0,110.0,481.0,434.0,476.0,550.0,658.0,711.0,708.0,467.0,533.0,335.0,57.0,39.0,42.0,48.0,23.0,9.0,12-08-2019
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
58,RMIT Building 14,48.0,33.0,19.0,12.0,29.0,26.0,84.0,321.0,929.0,839.0,976.0,1056.0,1491.0,1598.0,1757.0,1491.0,1564.0,1665.0,1465.0,934.0,785.0,486.0,238.0,139.0,12-08-2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,12-08-2019
76,Total,2439.0,1557.0,844.0,644.0,829.0,2721.0,9393.0,25322.0,55123.0,40439.0,32803.0,37719.0,59076.0,62262.0,47937.0,49503.0,59198.0,79016.0,53528.0,32166.0,24986.0,18805.0,10968.0,5559.0,12-08-2019
0,Bourke Street Mall (North),55.0,8.0,3.0,18.0,5.0,6.0,103.0,371.0,876.0,931.0,1224.0,1774.0,3057.0,3349.0,2681.0,2507.0,2838.0,3247.0,2444.0,1428.0,757.0,574.0,274.0,150.0,13-08-2019
1,Bourke Street Mall (South),43.0,15.0,16.0,9.0,21.0,25.0,92.0,251.0,549.0,638.0,970.0,1359.0,2360.0,2663.0,2038.0,1925.0,1977.0,2084.0,1346.0,601.0,374.0,276.0,146.0,79.0,13-08-2019
2,Melbourne Central,155.0,116.0,62.0,39.0,31.0,86.0,153.0,386.0,732.0,703.0,1028.0,1281.0,2106.0,1988.0,2285.0,2190.0,2243.0,2714.0,2665.0,2297.0,2446.0,1652.0,947.0,517.0,13-08-2019
3,Town Hall (West),82.0,31.0,33.0,11.0,19.0,100.0,184.0,556.0,1116.0,1110.0,1468.0,2013.0,2923.0,3092.0,2746.0,2607.0,2864.0,3373.0,2525.0,1629.0,1561.0,900.0,583.0,261.0,13-08-2019
4,Princes Bridge,104.0,46.0,25.0,32.0,48.0,128.0,392.0,974.0,1948.0,1601.0,1127.0,1508.0,1600.0,1757.0,1887.0,1717.0,2294.0,3478.0,2533.0,1368.0,1190.0,1526.0,601.0,252.0,13-08-2019
5,Flinders Street Station Underpass,140.0,66.0,30.0,29.0,29.0,251.0,1019.0,1910.0,4075.0,2224.0,1263.0,1404.0,1953.0,1983.0,1754.0,2115.0,3097.0,5120.0,2884.0,1593.0,1232.0,1059.0,723.0,365.0,13-08-2019
6,Birrarung Marr,7.0,7.0,2.0,2.0,3.0,30.0,112.0,369.0,533.0,223.0,159.0,136.0,251.0,313.0,124.0,170.0,218.0,580.0,369.0,128.0,76.0,47.0,27.0,9.0,13-08-2019
7,Webb Bridge,5.0,14.0,,4.0,1.0,30.0,85.0,272.0,414.0,219.0,177.0,182.0,575.0,483.0,216.0,229.0,345.0,613.0,369.0,156.0,106.0,81.0,58.0,14.0,13-08-2019
8,Southern Cross Station,25.0,2.0,1.0,4.0,8.0,88.0,544.0,2374.0,4531.0,2933.0,947.0,729.0,1454.0,1340.0,854.0,1407.0,3147.0,4416.0,1990.0,596.0,222.0,131.0,86.0,56.0,13-08-2019
9,Victoria Point,19.0,13.0,6.0,4.0,4.0,24.0,124.0,372.0,690.0,484.0,262.0,256.0,510.0,422.0,335.0,351.0,680.0,954.0,424.0,178.0,86.0,38.0,44.0,10.0,13-08-2019
10,Waterfront City,3.0,,10.0,4.0,5.0,5.0,15.0,52.0,90.0,40.0,46.0,46.0,101.0,118.0,36.0,75.0,63.0,124.0,95.0,45.0,41.0,26.0,32.0,11.0,13-08-2019
11,New Quay,17.0,16.0,4.0,10.0,11.0,21.0,64.0,198.0,365.0,233.0,155.0,161.0,340.0,303.0,193.0,215.0,338.0,436.0,409.0,318.0,200.0,152.0,86.0,38.0,13-08-2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2019
13,Sandridge Bridge,71.0,33.0,10.0,51.0,22.0,101.0,275.0,745.0,1484.0,786.0,411.0,620.0,630.0,608.0,576.0,675.0,1028.0,2031.0,1089.0,599.0,446.0,319.0,290.0,142.0,13-08-2019
14,State Library,65.0,45.0,28.0,32.0,12.0,50.0,85.0,330.0,718.0,702.0,978.0,1098.0,1568.0,1698.0,1682.0,1842.0,1936.0,2281.0,2077.0,1605.0,1379.0,848.0,461.0,274.0,13-08-2019
15,Collins St (North),24.0,7.0,9.0,8.0,4.0,28.0,191.0,557.0,970.0,885.0,1022.0,1321.0,2013.0,2061.0,1516.0,1360.0,1320.0,1466.0,899.0,462.0,473.0,287.0,142.0,82.0,13-08-2019
16,Collins Place (South),21.0,12.0,11.0,5.0,5.0,96.0,258.0,879.0,2128.0,1492.0,887.0,737.0,1489.0,1564.0,975.0,856.0,880.0,1382.0,968.0,313.0,439.0,210.0,211.0,143.0,13-08-2019
17,Collins Place (North),7.0,2.0,3.0,4.0,,37.0,209.0,768.0,1721.0,996.0,475.0,423.0,625.0,609.0,502.0,576.0,1165.0,1682.0,856.0,284.0,194.0,99.0,80.0,47.0,13-08-2019
18,Chinatown-Swanston St (North),62.0,20.0,21.0,21.0,12.0,16.0,33.0,124.0,169.0,194.0,290.0,541.0,778.0,926.0,786.0,747.0,773.0,1036.0,1225.0,1138.0,743.0,581.0,317.0,125.0,13-08-2019
19,Chinatown-Lt Bourke St (South),62.0,37.0,20.0,17.0,2.0,14.0,25.0,124.0,220.0,287.0,308.0,506.0,872.0,906.0,651.0,583.0,550.0,827.0,1061.0,1113.0,821.0,647.0,366.0,171.0,13-08-2019
20,Bourke St-Russell St (West),141.0,116.0,47.0,40.0,37.0,39.0,94.0,175.0,400.0,322.0,545.0,682.0,1505.0,1387.0,981.0,915.0,1005.0,1363.0,1185.0,1027.0,910.0,710.0,517.0,268.0,13-08-2019
21,Flinders St-Elizabeth St (East),174.0,110.0,59.0,106.0,69.0,169.0,742.0,1596.0,2859.0,2136.0,1875.0,2125.0,3027.0,3177.0,2946.0,3071.0,3732.0,4923.0,3866.0,2784.0,2180.0,1600.0,1415.0,649.0,13-08-2019
22,Spencer St-Collins St (South),28.0,11.0,9.0,14.0,3.0,54.0,250.0,805.0,1626.0,981.0,520.0,512.0,1003.0,908.0,639.0,657.0,879.0,1266.0,663.0,361.0,238.0,181.0,111.0,50.0,13-08-2019
23,Spencer St-Collins St (North),79.0,52.0,19.0,17.0,29.0,339.0,1166.0,2598.0,5154.0,3210.0,1889.0,1871.0,2744.0,2558.0,2220.0,2945.0,3913.0,5311.0,2930.0,1455.0,1061.0,825.0,533.0,256.0,13-08-2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2019
25,QV Market-Elizabeth St (West),132.0,74.0,64.0,42.0,30.0,68.0,162.0,324.0,697.0,787.0,802.0,1228.0,1759.0,1758.0,1275.0,814.0,745.0,908.0,763.0,597.0,521.0,511.0,316.0,169.0,13-08-2019
26,QV Market-Peel St,11.0,6.0,10.0,7.0,4.0,10.0,41.0,121.0,188.0,206.0,174.0,217.0,284.0,328.0,251.0,180.0,188.0,238.0,211.0,141.0,122.0,120.0,91.0,50.0,13-08-2019
27,The Arts Centre,34.0,34.0,18.0,29.0,51.0,98.0,333.0,830.0,1653.0,1348.0,982.0,1163.0,1538.0,1537.0,1531.0,1446.0,1956.0,2912.0,2535.0,723.0,744.0,1566.0,355.0,129.0,13-08-2019
28,St Kilda Rd-Alexandra Gardens,9.0,12.0,13.0,9.0,9.0,43.0,77.0,216.0,412.0,235.0,228.0,523.0,597.0,626.0,656.0,541.0,545.0,817.0,528.0,210.0,130.0,153.0,64.0,24.0,13-08-2019
29,Lonsdale St (South),123.0,87.0,45.0,32.0,17.0,26.0,65.0,142.0,431.0,267.0,346.0,619.0,884.0,1004.0,727.0,737.0,717.0,926.0,988.0,821.0,746.0,653.0,408.0,259.0,13-08-2019
30,Lygon St (West),56.0,14.0,3.0,12.0,15.0,26.0,36.0,100.0,136.0,146.0,208.0,216.0,376.0,411.0,292.0,273.0,233.0,324.0,323.0,353.0,315.0,332.0,209.0,102.0,13-08-2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2019
32,Flinders St-Spring St (West),17.0,,2.0,3.0,3.0,14.0,97.0,234.0,555.0,448.0,197.0,189.0,329.0,326.0,292.0,206.0,463.0,582.0,294.0,130.0,75.0,51.0,74.0,40.0,13-08-2019
33,Flinders St-Spark La,4.0,3.0,4.0,4.0,5.0,29.0,70.0,133.0,311.0,251.0,168.0,136.0,346.0,291.0,200.0,183.0,244.0,424.0,230.0,107.0,101.0,72.0,71.0,19.0,13-08-2019
34,Southbank,87.0,29.0,13.0,6.0,30.0,121.0,759.0,963.0,1934.0,1087.0,822.0,1071.0,1821.0,1922.0,1261.0,1287.0,1549.0,2561.0,1754.0,1303.0,1018.0,750.0,524.0,200.0,13-08-2019
35,Queen St (West),13.0,9.0,4.0,3.0,2.0,12.0,69.0,217.0,780.0,627.0,561.0,527.0,1147.0,1085.0,704.0,552.0,686.0,811.0,452.0,235.0,230.0,171.0,79.0,37.0,13-08-2019
36,Lygon St (East),19.0,11.0,5.0,6.0,9.0,8.0,8.0,48.0,91.0,91.0,121.0,174.0,297.0,266.0,204.0,192.0,226.0,230.0,236.0,217.0,160.0,145.0,69.0,24.0,13-08-2019
37,Alfred Place,,,,,,,,,,,,,,,,,,,,,,,,,13-08-2019
38,Lonsdale St-Spring St (West),10.0,10.0,6.0,3.0,5.0,36.0,103.0,284.0,850.0,623.0,687.0,585.0,1019.0,893.0,690.0,606.0,472.0,673.0,388.0,207.0,218.0,126.0,88.0,43.0,13-08-2019
39,Grattan St-Swanston St (West),28.0,14.0,11.0,5.0,2.0,15.0,68.0,165.0,618.0,633.0,622.0,894.0,1171.0,1118.0,923.0,997.0,838.0,1068.0,701.0,379.0,290.0,178.0,191.0,55.0,13-08-2019
40,Monash Rd-Swanston St (West),24.0,5.0,3.0,1.0,2.0,11.0,34.0,169.0,637.0,717.0,606.0,713.0,768.0,706.0,667.0,671.0,805.0,952.0,844.0,472.0,332.0,193.0,114.0,66.0,13-08-2019
41,Tin Alley-Swanston St (West),19.0,2.0,1.0,,1.0,7.0,21.0,66.0,221.0,209.0,209.0,206.0,258.0,284.0,258.0,269.0,289.0,389.0,308.0,204.0,142.0,84.0,51.0,16.0,13-08-2019
42,Little Collins St-Swanston St (East),92.0,30.0,24.0,13.0,13.0,61.0,152.0,517.0,935.0,764.0,780.0,1140.0,1941.0,2034.0,1635.0,1539.0,1607.0,2209.0,1641.0,1163.0,1065.0,823.0,479.0,281.0,13-08-2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,13-08-2019
44,Pelham St (South),15.0,3.0,1.0,1.0,1.0,4.0,34.0,99.0,254.0,373.0,277.0,300.0,455.0,473.0,370.0,286.0,286.0,375.0,275.0,188.0,125.0,118.0,59.0,33.0,13-08-2019
45,Melbourne Central-Elizabeth St (East),85.0,53.0,36.0,27.0,41.0,76.0,190.0,482.0,989.0,933.0,904.0,1354.0,1991.0,2021.0,1724.0,1880.0,2161.0,2453.0,1845.0,1441.0,922.0,629.0,414.0,214.0,13-08-2019
46,QVM-Queen St (East),18.0,6.0,13.0,3.0,4.0,17.0,39.0,189.0,318.0,357.0,466.0,554.0,728.0,754.0,564.0,488.0,337.0,387.0,289.0,199.0,182.0,164.0,118.0,72.0,13-08-2019
47,QVM-Therry St (South),55.0,48.0,29.0,29.0,24.0,29.0,45.0,87.0,156.0,202.0,243.0,351.0,524.0,469.0,263.0,159.0,204.0,194.0,151.0,138.0,173.0,127.0,118.0,100.0,13-08-2019
48,Faraday St-Lygon St (West),16.0,11.0,,7.0,5.0,2.0,20.0,97.0,171.0,183.0,242.0,326.0,431.0,489.0,371.0,410.0,376.0,385.0,460.0,335.0,270.0,272.0,175.0,38.0,13-08-2019
49,QVM-Franklin St (North),20.0,24.0,4.0,10.0,3.0,13.0,48.0,94.0,170.0,157.0,171.0,234.0,354.0,340.0,241.0,196.0,236.0,236.0,181.0,166.0,174.0,102.0,54.0,58.0,13-08-2019
50,Elizabeth St-Lonsdale St (South),24.0,20.0,14.0,3.0,7.0,37.0,63.0,255.0,705.0,594.0,513.0,555.0,950.0,1029.0,844.0,813.0,773.0,980.0,687.0,633.0,429.0,336.0,141.0,56.0,13-08-2019
